測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
688381.SH,著兜峚,2023-11-02,26.1453,26.5482,25.4101,25.4504,1794217,
688381.SH,著兜峚,2023-11-03,25.7223,26.6993,25.4403,26.5985,2470704,
688381.SH,著兜峚,2023-11-06,26.7295,28.2502,26.6892,28.1495,3949990,
688381.SH,著兜峚,2023-11-07,28.1495,28.5222,27.8675,28.2502,3893462,
688381.SH,著兜峚,2023-11-08,28.1999,28.9049,27.8978,28.2301,5864201,
688381.SH,著兜峚,2023-11-09,28.1797,28.3711,27.2129,27.3136,3654237,
688381.SH,著兜峚,2023-11-10,27.2129,27.8675,27.0719,27.374,2546893,
688381.SH,著兜峚,2023-11-13,27.5553,27.928,27.3338,27.5755,2133447,
688381.SH,著兜峚,2023-11-14,27.4949,28.3006,27.0417,28.079,2708654,
688381.SH,著兜峚,2023-11-15,28.3912,28.5524,27.8071,28.0488,2069266,
688381.SH,著兜峚,2023-11-16,27.9783,28.3006,27.7568,27.9582,3428209,
688381.SH,著兜峚,2023-11-17,27.8675,28.1898,27.7467,27.9481,1382534,
688381.SH,著兜峚,2023-11-20,27.9985,28.2704,27.5855,27.8474,1828789,
688381.SH,著兜峚,2023-11-21,27.8474,27.8978,27.3237,27.3438,1473800,
688381.SH,著兜峚,2023-11-22,27.3438,27.4748,26.4475,26.5683,2492281,
688381.SH,著兜峚,2023-11-23,26.5985,27.2935,26.1856,27.1424,2383638,
688381.SH,著兜峚,2023-11-24,27.0719,27.0719,25.9842,26.095,2276764,
688381.SH,著兜峚,2023-11-27,26.0547,26.6086,25.9238,26.4878,1931676,
688381.SH,著兜峚,2023-11-28,26.4273,27.1625,26.3165,26.9108,1431411,
688381.SH,著兜峚,2023-11-29,26.8906,27.2733,26.6993,26.8705,1652078,
688381.SH,著兜峚,2023-11-30,26.8705,26.8705,26.0446,26.1856,2271931,
688381.SH,著兜峚,2023-12-01,26.1856,26.4676,25.5108,26.0547,2129837,
688381.SH,著兜峚,2023-12-04,26.1353,26.3065,25.8432,25.9238,1317506,
688381.SH,著兜峚,2023-12-05,25.813,25.8835,25.2389,25.3698,1566794,
688381.SH,著兜峚,2023-12-06,25.2893,26.0547,25.2288,25.8835,2311823,
688381.SH,著兜峚,2023-12-07,25.9238,26.0446,25.4101,25.8935,1983628,
688381.SH,著兜峚,2023-12-08,25.823,26.2763,25.682,25.9943,4005683,
688381.SH,著兜峚,2023-12-11,25.8029,26.7194,25.3698,26.5784,2977328,
688381.SH,著兜峚,2023-12-12,26.6388,27.0215,26.4173,26.659,1375437,
688381.SH,著兜峚,2023-12-13,26.8503,26.8503,26.0849,26.1151,1401024,
688381.SH,著兜峚,2023-12-14,26.1755,26.5583,25.9842,26.105,1336972,
688381.SH,著兜峚,2023-12-15,26.1453,26.2863,25.682,25.8432,1267585,
688381.SH,著兜峚,2023-12-18,25.8029,25.8029,24.9368,25.0778,2037826,
